Splitting dataset into train/validation...
Train: 12418, Val: 1380
{'loss': 0.1062, 'grad_norm': 0.4485890865325928, 'learning_rate': 0.0001588323674608285, 'epoch': 0.62}
{'loss': 0.1102, 'grad_norm': 0.3802974224090576, 'learning_rate': 0.00015840309079201545, 'epoch': 0.62}
{'loss': 0.105, 'grad_norm': 0.22048956155776978, 'learning_rate': 0.0001579738141232024, 'epoch': 0.63}
{'loss': 0.1101, 'grad_norm': 0.5499547719955444, 'learning_rate': 0.00015754453745438936, 'epoch': 0.64}
{'loss': 0.1108, 'grad_norm': 0.3154982328414917, 'learning_rate': 0.0001571152607855763, 'epoch': 0.64}
{'eval_loss': 0.10673514008522034, 'eval_runtime': 140.7123, 'eval_samples_per_second': 9.807, 'eval_steps_per_second': 4.904, 'epoch': 0.64}
{'loss': 0.1278, 'grad_norm': 0.26532530784606934, 'learning_rate': 0.00015668598411676325, 'epoch': 0.65}
{'loss': 0.1088, 'grad_norm': 0.3568679988384247, 'learning_rate': 0.0001562567074479502, 'epoch': 0.66}
{'loss': 0.1301, 'grad_norm': 0.22074654698371887, 'learning_rate': 0.00015582743077913714, 'epoch': 0.66}
{'loss': 0.0951, 'grad_norm': 0.23430868983268738, 'learning_rate': 0.0001553981541103241, 'epoch': 0.67}
{'loss': 0.1037, 'grad_norm': 0.30027055740356445, 'learning_rate': 0.00015496887744151106, 'epoch': 0.68}
{'loss': 0.0943, 'grad_norm': 0.3029203712940216, 'learning_rate': 0.000154539600772698, 'epoch': 0.68}
{'loss': 0.0844, 'grad_norm': 0.24587367475032806, 'learning_rate': 0.00015411032410388495, 'epoch': 0.69}
{'loss': 0.0967, 'grad_norm': 0.3335227370262146, 'learning_rate': 0.0001536810474350719, 'epoch': 0.7}
{'loss': 0.0869, 'grad_norm': 0.2753239870071411, 'learning_rate': 0.00015325177076625884, 'epoch': 0.7}
{'loss': 0.0774, 'grad_norm': 0.20026318728923798, 'learning_rate': 0.00015282249409744581, 'epoch': 0.71}
{'eval_loss': 0.10529011487960815, 'eval_runtime': 140.7112, 'eval_samples_per_second': 9.807, 'eval_steps_per_second': 4.904, 'epoch': 0.71}
{'loss': 0.1075, 'grad_norm': 0.3244520127773285, 'learning_rate': 0.00015239321742863276, 'epoch': 0.72}
{'loss': 0.1085, 'grad_norm': 0.2399747371673584, 'learning_rate': 0.0001519639407598197, 'epoch': 0.72}
{'loss': 0.0949, 'grad_norm': 0.23529884219169617, 'learning_rate': 0.00015153466409100665, 'epoch': 0.73}
{'loss': 0.1122, 'grad_norm': 0.2317645400762558, 'learning_rate': 0.0001511053874221936, 'epoch': 0.73}
{'loss': 0.1566, 'grad_norm': 0.3510739505290985, 'learning_rate': 0.00015067611075338054, 'epoch': 0.74}
{'loss': 0.1305, 'grad_norm': 0.227721706032753, 'learning_rate': 0.0001502468340845675, 'epoch': 0.75}
{'loss': 0.1023, 'grad_norm': 0.3060550391674042, 'learning_rate': 0.00014981755741575446, 'epoch': 0.75}
{'loss': 0.0956, 'grad_norm': 0.3029860258102417, 'learning_rate': 0.0001493882807469414, 'epoch': 0.76}
{'loss': 0.0863, 'grad_norm': 0.2915708124637604, 'learning_rate': 0.00014895900407812835, 'epoch': 0.77}
{'loss': 0.089, 'grad_norm': 0.334365576505661, 'learning_rate': 0.0001485297274093153, 'epoch': 0.77}
{'eval_loss': 0.10420384258031845, 'eval_runtime': 140.605, 'eval_samples_per_second': 9.815, 'eval_steps_per_second': 4.907, 'epoch': 0.77}
{'loss': 0.0976, 'grad_norm': 0.27874788641929626, 'learning_rate': 0.00014810045074050226, 'epoch': 0.78}
