Splitting dataset into train/validation...
Train: 12418, Val: 1380
Tokenizing datasets...
{'eval_loss': 0.03014775738120079, 'eval_runtime': 117.7023, 'eval_samples_per_second': 11.724, 'eval_steps_per_second': 5.862, 'epoch': 0.77}
{'loss': 0.0306, 'grad_norm': 0.28738903999328613, 'learning_rate': 8.78890101554062e-05, 'epoch': 0.78}
{'loss': 0.0032, 'grad_norm': 1.152820110321045, 'learning_rate': 8.765820843984268e-05, 'epoch': 0.79}
{'loss': 0.013, 'grad_norm': 0.04897996038198471, 'learning_rate': 8.742553740855506e-05, 'epoch': 0.79}
{'loss': 0.011, 'grad_norm': 0.026592250913381577, 'learning_rate': 8.719100861110017e-05, 'epoch': 0.8}
{'loss': 0.021, 'grad_norm': 0.07791897654533386, 'learning_rate': 8.695463368925246e-05, 'epoch': 0.81}
{'loss': 0.0158, 'grad_norm': 0.0062529947608709335, 'learning_rate': 8.671642437642615e-05, 'epoch': 0.81}
{'loss': 0.0087, 'grad_norm': 0.002517145359888673, 'learning_rate': 8.647639249709275e-05, 'epoch': 0.82}
{'loss': 0.0038, 'grad_norm': 0.39497268199920654, 'learning_rate': 8.623454996619421e-05, 'epoch': 0.82}
{'loss': 0.001, 'grad_norm': 0.0014530085027217865, 'learning_rate': 8.599090878855137e-05, 'epoch': 0.83}
{'loss': 0.0192, 'grad_norm': 0.002506982535123825, 'learning_rate': 8.574548105826809e-05, 'epoch': 0.84}
{'eval_loss': 0.013148285448551178, 'eval_runtime': 118.8007, 'eval_samples_per_second': 11.616, 'eval_steps_per_second': 5.808, 'epoch': 0.84}
{'loss': 0.038, 'grad_norm': 2.133593797683716, 'learning_rate': 8.549827895813094e-05, 'epoch': 0.84}
{'loss': 0.0066, 'grad_norm': 0.14540725946426392, 'learning_rate': 8.524931475900439e-05, 'epoch': 0.85}
{'loss': 0.0062, 'grad_norm': 0.05036292225122452, 'learning_rate': 8.499860081922177e-05, 'epoch': 0.86}
{'loss': 0.0041, 'grad_norm': 0.25288110971450806, 'learning_rate': 8.474614958397177e-05, 'epoch': 0.86}
